ticket_id,fecha_creacion,tienda_id,categoria,prioridad,estado,titulo,descripcion,fecha_cierre
1001,2026-06-02 10:15,T01,Inventario,Media,Resuelto,Merma alta en frutas,"La merma de frutas y verduras esta muy alta esta semana, sobre todo en platano y fresa gracias",2026-06-04 08:59
1002,2026-06-02 12:24,T01,TI,Baja,Cerrado,Usuario bloqueado,"se me bloqueo el usuario del sistema de nomina, necesito q lo desbloqueen porfa es urgente para el corte.",2026-06-06 08:16
1003,2026-06-03 10:06,T01,Inventario,Media,Cerrado,Diferencia en conteo ciclico,"el conteo del pasillo 6 salió con diferencia de 6 piezas contra sistema, ¿reconteo? gracias",2026-06-06 05:27
1004,2026-06-03 17:20,T01,Inventario,Media,Cerrado,faltante en recepción,"En la recepcion de PRV-14 faltaron 32 cajas contra la factura, ya lo anotamos en la remision.",2026-06-07 10:11
1005,2026-06-03 18:54,T02,Inventario,Baja,Resuelto,Exceso de producto,"Nos mandaron el triple de agua embotellada de lo que pedimos, no hay donde ponerla.",2026-06-05 21:54
1006,2026-06-04 08:50,T01,TI,Media,Cerrado,Actualización pendiente en POS gracias,"Las cajas piden una actualizacion y no sabemos si aplicarla o esperar, ¿nos dicen?",2026-06-07 17:19
1007,2026-06-04 16:30,T04,Inventario,Media,Cerrado,Ajuste de inventario negativo,"el sistema marca existencia negativa de nuggets de pollo congelados 700 g, favor de ajustar.",2026-06-07 23:34
1008,2026-06-05 15:56,T03,RH,Alta,Cerrado,duda de vacaciones,"Un colaborador pregunta como se calculan sus dias de vacaciones, ¿me mandan la tabla?",2026-06-06 13:29
1009,2026-06-06 13:44,T02,Cajas,Baja,Cerrado,Autocobro fuera de servicio,La caja de autocobro 3 marca fuera de servicio desde ayer.,2026-06-14 18:54
1010,2026-06-06 14:46,T01,TI,Media,Cerrado,Impresora de oficina sin toner,"La impresora de la oficina (la de reportes, no la de cajas) ya no tiene toner, favor de surtir gracias",2026-06-10 05:20
1011,2026-06-06 20:50,T03,Cajas,Media,Cerrado,pantalla de caja parpadea gracias,"la pantalla de la caja 9 parpadea y a veces se pone negra, no se puede trabajar asi.",2026-06-09 13:56
1012,2026-06-06 21:40,T01,Mantenimiento,Media,Cerrado,puerta automática no abre,"La puerta de la entrada principal se atora y hay que abrirla a mano, la gente se enoja.",2026-06-08 15:55
1013,2026-06-08 10:56,T01,Mantenimiento,Media,Cerrado,montacargas no arranca,"El montacargas de bodega no arranca, no podemos bajar tarimas de la recepcion.",2026-06-09 13:29
1014,2026-06-08 15:15,T02,TI,Alta,Cerrado,Actualización pendiente en POS,"Las cajas piden una actualizacion y no sabemos si aplicarla o esperar, ¿nos dicen? gracias",2026-06-09 18:16
1015,2026-06-08 15:52,T04,Inventario,Baja,Resuelto,Producto caducado en anaquel,"Encontramos Queso manchego rebanado 200 g caducado en anaquel, ya lo retiramos pero hay que revisar el resto.",2026-06-13 06:51
1016,2026-06-10 09:42,T02,Inventario,Baja,Cerrado,Reposición urgente,"Se nos está acabando Aguacate Hass kg y el pedido normal llega hasta el jueves, ¿pueden adelantarlo?",2026-06-15 11:51
1017,2026-06-10 13:08,T02,TI,Baja,Cerrado,Reloj checador no lee huellas,"El checador de la entrada de empleados no lee huellas, los muchachos no pueden checar entrada gracias",2026-06-12 17:43
1018,2026-06-10 14:02,T01,TI,Alta,Cerrado,usuario bloqueado gracias,"Se me bloqueo el usuario del sistema de nomina, necesito q lo desbloqueen porfa es urgente para el corte.",2026-06-10 23:40
1019,2026-06-10 14:19,T03,Mantenimiento,Media,Resuelto,Fuga de agua en banos,"Fuga de agua en el bano de clientes, el lavabo no cierra y se desperdicia mucha agua.",2026-06-12 22:02
1020,2026-06-10 14:55,T03,Mantenimiento,Alta,Cerrado,Cortina de bodega atorada gracias,"La cortina metalica de recepcion se atoro a medias, los proveedores no pueden descargar gracias",2026-06-11 02:18
1021,2026-06-10 20:29,T02,Mantenimiento,Media,Cerrado,Congelador con hielo acumulado,El congelador de la isla 14 tiene mucho hielo y la puerta ya no cierra bien.,2026-06-14 03:27
1022,2026-06-10 21:18,T03,Cajas,Baja,Resuelto,terminal bancaria rechazada,"La terminal de la caja 7 rechaza todas las tarjetas, dice error de comunicacion.",2026-06-15 19:11
1023,2026-06-11 10:29,T04,Mantenimiento,Alta,Resuelto,Anaquel flojo,"Un anaquel del pasillo 9 está flojo y se mueve, hay que apretarlo antes de que se caiga.",2026-06-11 17:39
1024,2026-06-11 17:04,T03,Cajas,Baja,Cerrado,pantalla de caja parpadea gracias,"La pantalla de la caja 7 parpadea y a veces se pone negra, no se puede trabajar asi.",2026-06-20 03:36
1025,2026-06-11 18:16,T03,Mantenimiento,Baja,Cerrado,Montacargas no arranca gracias,"el montacargas de bodega no arranca, no podemos bajar tarimas de la recepcion.",2026-06-19 11:10
1026,2026-06-12 10:31,T01,RH,Media,Cerrado,Falta personal en fin de semana,"necesitamos apoyo de 2 cajeros para sabado y domingo, tenemos 3 vacantes sin cubrir.",2026-06-14 18:59
1027,2026-06-12 14:35,T02,Cajas,Media,Resuelto,impresora imprime caracteres raros,La impresora PrintMax TX-200 de la caja 2 imprime puros simbolos raros en vez del ticket.,2026-06-14 21:18
1028,2026-06-12 15:52,T03,Inventario,Media,Cerrado,Faltante en recepcion,"En la recepcion de PRV-11 faltaron 10 cajas contra la factura, ya lo anotamos en la remisión.",2026-06-14 15:02
1029,2026-06-12 18:45,T01,Mantenimiento,Baja,Resuelto,Anaquel flojo,"Un anaquel del pasillo 9 está flojo y se mueve, hay que apretarlo antes de que se caiga.",2026-06-20 11:50
1030,2026-06-13 07:45,T03,Inventario,Alta,Resuelto,Producto no llego del CEDIS,"el pedido de ayer llegó sin la tarima de lacteos, no tenemos leche para el fin de semana.",2026-06-15 05:36
1031,2026-06-13 11:16,T01,Inventario,Media,Cerrado,Producto caducado en anaquel gracias,"encontramos harina de trigo 1 kg caducado en anaquel, ya lo retiramos pero hay que revisar el resto.",2026-06-14 19:54
1032,2026-06-13 13:48,T04,Inventario,Baja,Cerrado,Reposición urgente,"Se nos está acabando Jugo de manzana 1 L y el pedido normal llega hasta el jueves, ¿pueden adelantarlo?",2026-06-17 14:48
1033,2026-06-13 14:55,T02,Cajas,Alta,Resuelto,La caja 6 no imprime,"La impresora PrintMax TX-200 de la caja 6 no imprime tickets, ya la reiniciamos 2 veces y sigue igual.",2026-06-14 14:40
1034,2026-06-13 19:36,T02,Cajas,Alta,Cerrado,Lector de código no lee,"El lector de la caja 4 no lee los codigos, hay que teclearlos a mano y se hace fila.",2026-06-15 02:20
1035,2026-06-14 08:38,T03,TI,Alta,Resuelto,Usuario bloqueado,"Se me bloqueo el usuario del sistema de nomina, necesito que lo desbloqueen porfa es urgente para el corte.",2026-06-16 04:08
1036,2026-06-14 14:39,T04,Cajas,Alta,Cerrado,Lector de codigo no lee gracias,"El lector de la caja 9 no lee los codigos, hay que teclearlos a mano y se hace fila.",2026-06-14 20:10
1037,2026-06-14 19:14,T01,Cajas,Alta,Cerrado,Impresora imprime caracteres raros,La impresora PrintMax TX-200 de la caja 11 imprime puros simbolos raros en vez del ticket.,2026-06-15 05:12
1038,2026-06-16 08:36,T04,Mantenimiento,Alta,Cerrado,Gotera en área de cajas,"Hay una gotera arriba de la caja 4 y ya se mojo el piso, riesgo de que se resbale alguien.",2026-06-17 17:01
1039,2026-06-16 19:31,T01,Mantenimiento,Media,Cerrado,Puerta automática no abre,"La puerta de la entrada principal se atora y hay que abrirla a mano, la gente se enoja.",2026-06-20 02:28
1040,2026-06-17 07:38,T03,TI,Baja,Cerrado,Internet lento en tienda gracias,"El internet esta muy lento, las terminales tardan en autorizar y la gente se desespera en fila.",2026-06-20 02:39
1041,2026-06-17 18:58,T01,TI,Baja,Cerrado,usuario bloqueado,"Se me bloqueo el usuario del sistema de nomina, necesito que lo desbloqueen porfa es urgente para el corte.",2026-06-23 18:25
1042,2026-06-17 21:19,T02,Mantenimiento,Media,Cerrado,Congelador con hielo acumulado,El congelador de la isla 14 tiene mucho hielo y la puerta ya no cierra bien.,2026-06-20 23:47
1043,2026-06-18 08:25,T01,Mantenimiento,Alta,Cerrado,Puerta de acceso de empleados no cierra,"Reporta Alberto Hernán Guevara, encargado de turno, cel 218.196.0013. La puerta de acceso de empleados no cierra bien desde ayer, se queda abierta y cualquiera puede entrar a bodega. Favor de llamarle para coordinar la visita del técnico.",2026-06-19 14:41
1044,2026-06-18 16:58,T01,Cajas,Media,Cerrado,impresora de caja sin conexion,"La caja 2 dice impresora desconectada, es la PrintMax TX-200, ya revisamos el cable gracias",2026-06-20 13:51
1045,2026-06-18 17:03,T03,RH,Baja,Resuelto,Incapacidad por registrar,un colaborador trajo su incapacidad del imss y no sé donde la capturo en el sistema.,2026-06-21 19:54
1046,2026-06-19 09:30,T03,Inventario,Media,Resuelto,Reposicion urgente,"Se nos esta acabando Jitomate saladette kg y el pedido normal llega hasta el jueves, ¿pueden adelantarlo?",2026-06-21 01:50
1047,2026-06-19 17:27,T03,Inventario,Alta,Cerrado,Reposicion urgente gracias,"se nos está acabando papel higiénico 12 rollos y el pedido normal llega hasta el jueves, ¿pueden adelantarlo? gracias",2026-06-20 03:18
1048,2026-06-19 19:09,T04,Inventario,Media,Cerrado,ajuste de inventario negativo,"El sistema marca existencia negativa de Avena en hojuelas 400 g, favor de ajustar gracias",2026-06-20 13:11
1049,2026-06-19 19:56,T03,Inventario,Baja,Resuelto,Reposicion urgente gracias,"Se nos esta acabando Jitomate saladette kg y el pedido normal llega hasta el jueves, ¿pueden adelantarlo?",2026-06-28 10:23
1050,2026-06-20 08:03,T02,Inventario,Baja,Cerrado,Producto sin código en sistema,"Llegó un producto nuevo de PRV-03 y no tiene codigo cargado, no se puede vender.",2026-06-27 19:27
1051,2026-06-20 18:08,T04,Cajas,Media,Resuelto,Pantalla de caja parpadea,"La pantalla de la caja 7 parpadea y a veces se pone negra, no se puede trabajar asi.",2026-06-23 21:25
1052,2026-06-21 10:45,T02,RH,Baja,Cerrado,Falta personal en fin de semana,"Necesitamos apoyo de 2 cajeros para sabado y domingo, tenemos 3 vacantes sin cubrir.",2026-06-25 22:43
1053,2026-06-21 11:24,T04,Mantenimiento,Media,Cerrado,Cortina de bodega atorada,"La cortina metalica de recepcion se atoro a medias, los proveedores no pueden descargar.",2026-06-22 07:33
1054,2026-06-21 12:15,T04,Cajas,Alta,Cerrado,Lector de código no lee,"El lector de la caja 1 no lee los codigos, hay que teclearlos a mano y se hace fila.",2026-06-21 17:51
1055,2026-06-21 15:33,T02,Mantenimiento,Baja,Resuelto,se fue la luz en refris,"Se fue la luz en refris del pasillo 5, ya llevan como 2 hrs sin frio, los lacteos estan en riesgo gracias",2026-06-28 21:05
1056,2026-06-22 16:14,T03,RH,Media,Resuelto,Baja de colaborador,"Un colaborador de cajas renunció, favor de procesar su baja y finiquito gracias",2026-06-25 03:38
1057,2026-06-22 20:50,T03,TI,Media,Cerrado,Internet lento en tienda,"el internet está muy lento, las terminales tardan en autorizar y la gente se desespera en fila.",2026-06-24 18:24
1058,2026-06-22 20:53,T02,TI,Crítica,Cerrado,no entra el sistema de inventario gracias,"Desde la mañana no podemos entrar al SIGMA, marca error de conexion. Ya reiniciamos la compu de la oficina y nada.",2026-06-23 06:42
