fecha,tienda_id,sku,unidades,venta_neta_mxn,descuento_mxn,canal
2026-06-01,T01,SKU-1001,52,1430.00,0.00,Piso
2026-06-01,T01,SKU-1002,7,203.00,0.00,Ecommerce
2026-06-01,T01,SKU-1002,31,705.48,193.52,Piso
2026-06-01,T01,SKU-1003,14,399.00,0.00,Piso
2026-06-01,T01,SKU-1004,19,874.00,0.00,Piso
2026-06-01,T01,SKU-1005,5,62.50,0.00,Ecommerce
2026-06-01,T01,SKU-1005,23,287.50,0.00,Piso
2026-06-01,T01,SKU-1006,6,468.00,0.00,Piso
2026-06-01,T01,SKU-1007,10,920.00,0.00,Piso
2026-06-01,T01,SKU-1008,6,384.00,0.00,Piso
2026-06-01,T01,SKU-1009,24,912.00,0.00,Piso
2026-06-01,T01,SKU-1010,11,220.08,43.92,Piso
2026-06-01,T01,SKU-1011,6,294.00,0.00,Ecommerce
2026-06-01,T01,SKU-1011,40,1960.00,0.00,Piso
2026-06-01,T01,SKU-1012,5,197.82,62.18,Piso
2026-06-01,T01,SKU-1013,4,14.00,0.00,Ecommerce
2026-06-01,T01,SKU-1013,49,171.50,0.00,Piso
2026-06-01,T01,SKU-1014,1,14.00,0.00,Ecommerce
2026-06-01,T01,SKU-1016,7,294.00,0.00,Piso
2026-06-01,T01,SKU-1017,3,72.00,0.00,Ecommerce
2026-06-01,T01,SKU-1017,31,590.70,153.30,Piso
2026-06-01,T01,SKU-1018,24,1056.00,0.00,Piso
2026-06-01,T01,SKU-1019,9,324.00,0.00,Piso
2026-06-01,T01,SKU-1020,14,252.00,0.00,Piso
2026-06-01,T01,SKU-1021,3,66.00,0.00,Piso
2026-06-01,T01,SKU-1022,14,448.00,0.00,Piso
2026-06-01,T01,SKU-1023,18,2502.00,0.00,Piso
2026-06-01,T01,SKU-1024,15,1035.00,0.00,Piso
2026-06-01,T01,SKU-1025,9,1971.00,0.00,Piso
2026-06-01,T01,SKU-1026,11,1925.00,0.00,Piso
2026-06-01,T01,SKU-1030,12,624.00,0.00,Piso
2026-06-01,T01,SKU-1031,5,490.00,0.00,Piso
2026-06-01,T01,SKU-1032,9,1035.00,0.00,Piso
2026-06-01,T01,SKU-1033,5,110.00,0.00,Ecommerce
2026-06-01,T01,SKU-1034,23,1127.00,0.00,Piso
2026-06-01,T01,SKU-1035,3,204.00,0.00,Ecommerce
2026-06-01,T01,SKU-1035,19,1292.00,0.00,Piso
2026-06-01,T01,SKU-1036,31,709.72,282.28,Piso
2026-06-01,T01,SKU-1037,22,352.06,65.94,Piso
2026-06-01,T01,SKU-1038,10,550.00,0.00,Piso
2026-06-01,T01,SKU-1039,3,87.00,0.00,Ecommerce
2026-06-01,T01,SKU-1039,38,1102.00,0.00,Piso
2026-06-01,T01,SKU-1040,2,52.00,0.00,Ecommerce
2026-06-01,T01,SKU-1040,14,261.13,102.87,Piso
2026-06-01,T01,SKU-1041,2,62.00,0.00,Ecommerce
2026-06-01,T01,SKU-1041,26,806.00,0.00,Piso
2026-06-01,T01,SKU-1041,-1,-31.00,0.00,Piso
