sku,nombre,categoria,subcategoria,perecedero,vida_util_dias,precio_lista_mxn,costo_mxn,proveedor_id,estatus,fecha_alta,fecha_baja,sku_sustituto
SKU-1001,Leche entera 1 L,Lácteos,Leche,True,12,27.5,20.85,PRV-02,Descontinuado,2024-01-15,2026-07-14,SKU-1121
SKU-1002,Leche deslactosada 1 L,Lácteos,Leche,True,12,29.0,21.79,PRV-01,Activo,2024-01-15,,
SKU-1003,Leche light 1 L,Lácteos,Leche,True,12,28.5,21.78,PRV-01,Activo,2024-01-15,,
SKU-1004,Yogur natural 1 kg,Lácteos,Yogur,True,21,46.0,34.13,PRV-01,Activo,2024-01-15,,
SKU-1005,Yogur de fresa 150 g,Lácteos,Yogur,True,21,12.5,9.49,PRV-02,Activo,2024-01-15,,
SKU-1006,Queso panela 400 g,Lácteos,Quesos,True,20,78.0,63.16,PRV-02,Activo,2024-01-15,,
SKU-1007,Queso Oaxaca 400 g,Lácteos,Quesos,True,25,92.0,72.13,PRV-02,Activo,2024-01-15,,
SKU-1008,Queso manchego rebanado 200 g,Lácteos,Quesos,True,30,64.0,47.73,PRV-01,Activo,2024-01-15,,
SKU-1009,Crema ácida 450 ml,Lácteos,Cremas,True,20,38.0,29.2,PRV-01,Activo,2024-01-15,,
SKU-1010,Mantequilla con sal 90 g,Lácteos,Mantequillas,True,45,24.0,18.83,PRV-02,Activo,2024-01-15,,
SKU-1011,Huevo blanco 12 piezas,Lácteos,Huevo,True,28,49.0,39.29,PRV-01,Activo,2024-01-15,,
SKU-1012,Leche de almendra 946 ml,Lácteos,Bebidas vegetales,True,30,52.0,42.37,PRV-02,Activo,2024-01-15,,
SKU-1013,Bolillo pieza,Panadería,Pan salado,True,2,3.5,2.02,PRV-03,Activo,2024-01-15,,
SKU-1014,Concha de vainilla pieza,Panadería,Pan dulce,True,3,14.0,8.47,PRV-03,Activo,2024-01-15,,
SKU-1015,Dona glaseada pieza,Panadería,Pan dulce,True,2,16.0,9.38,PRV-03,Activo,2024-01-15,,
SKU-1016,Pastel de chocolate rebanada,Panadería,Pastelería,True,4,42.0,27.17,PRV-03,Activo,2024-01-15,,
SKU-1017,Tortillas de maíz 1 kg,Panadería,Tortillas,True,7,24.0,13.31,PRV-03,Activo,2024-01-15,,
SKU-1018,Pan de caja blanco 680 g,Panadería,Pan empacado,False,10,44.0,24.91,PRV-03,Activo,2024-01-15,,
SKU-1019,Tortillas de harina 20 piezas,Panadería,Tortillas,False,15,36.0,21.0,PRV-03,Activo,2024-01-15,,
SKU-1020,Galletas marías 170 g,Panadería,Galletas,False,180,18.0,12.07,PRV-03,Activo,2024-01-15,,
SKU-1021,Pan molido 200 g,Panadería,Panificados secos,False,240,22.0,13.86,PRV-03,Activo,2024-01-15,,
SKU-1022,Tostadas horneadas 360 g,Panadería,Tostadas,False,120,32.0,22.19,PRV-03,Activo,2024-01-15,,
SKU-1023,Pechuga de pollo sin hueso kg,Carnes,Pollo,True,4,139.0,116.22,PRV-05,Activo,2024-01-15,,
SKU-1024,Pierna y muslo de pollo kg,Carnes,Pollo,True,4,69.0,54.03,PRV-05,Activo,2024-01-15,,
SKU-1025,Bistec de res kg,Carnes,Res,True,5,219.0,167.08,PRV-04,Activo,2024-01-15,,
SKU-1026,Carne molida de res kg,Carnes,Res,True,3,175.0,142.92,PRV-04,Activo,2024-01-15,,
SKU-1027,Chuleta de cerdo kg,Carnes,Cerdo,True,5,129.0,104.2,PRV-05,Activo,2024-01-15,,
SKU-1028,Costilla de cerdo kg,Carnes,Cerdo,True,5,149.0,124.91,PRV-04,Activo,2024-01-15,,
SKU-1029,Jamón de pavo 250 g,Carnes,Salchichonería,True,30,48.0,38.74,PRV-04,Activo,2024-01-15,,
SKU-1030,Salchicha de pavo 500 g,Carnes,Salchichonería,True,35,52.0,41.07,PRV-04,Activo,2024-01-15,,
SKU-1031,Filete de pescado congelado 500 g,Carnes,Congelados,False,365,98.0,79.44,PRV-04,Activo,2024-01-15,,
SKU-1032,Nuggets de pollo congelados 700 g,Carnes,Congelados,False,365,115.0,90.5,PRV-05,Activo,2024-01-15,,
SKU-1033,Plátano kg,Frutas y verduras,Frutas,True,5,22.0,15.02,PRV-07,Activo,2024-01-15,,
SKU-1034,Manzana roja kg,Frutas y verduras,Frutas,True,14,49.0,30.55,PRV-07,Activo,2024-01-15,,
SKU-1035,Aguacate Hass kg,Frutas y verduras,Frutas,True,6,68.0,45.8,PRV-07,Activo,2024-01-15,,
SKU-1036,Limón kg,Frutas y verduras,Frutas,True,10,32.0,20.42,PRV-06,Activo,2024-01-15,,
SKU-1037,Naranja kg,Frutas y verduras,Frutas,True,14,19.0,13.36,PRV-07,Activo,2024-01-15,,
SKU-1038,Fresa 454 g,Frutas y verduras,Frutas,True,4,55.0,39.55,PRV-06,Activo,2024-01-15,,
SKU-1039,Jitomate saladette kg,Frutas y verduras,Verduras,True,7,29.0,18.14,PRV-07,Activo,2024-01-15,,
SKU-1040,Cebolla blanca kg,Frutas y verduras,Verduras,True,21,26.0,16.52,PRV-07,Activo,2024-01-15,,
SKU-1041,Papa blanca kg,Frutas y verduras,Verduras,True,21,31.0,19.42,PRV-07,Activo,2024-01-15,,
SKU-1042,Chile serrano kg,Frutas y verduras,Verduras,True,10,45.0,29.33,PRV-06,Activo,2024-01-15,,
SKU-1043,Lechuga romana pieza,Frutas y verduras,Verduras,True,6,24.0,16.88,PRV-06,Activo,2024-01-15,,
SKU-1044,Zanahoria kg,Frutas y verduras,Verduras,True,14,18.0,11.52,PRV-06,Activo,2024-01-15,,
SKU-1045,Arroz 1 kg,Abarrotes,Granos,False,540,32.0,25.37,PRV-10,Activo,2024-01-15,,
SKU-1046,Frijol negro 1 kg,Abarrotes,Granos,False,540,44.0,33.59,PRV-09,Activo,2024-01-15,,
SKU-1047,Frijol pinto 1 kg,Abarrotes,Granos,False,540,42.0,32.61,PRV-09,Activo,2024-01-15,,
SKU-1048,Azúcar estándar 1 kg,Abarrotes,Endulzantes,False,720,34.0,26.66,PRV-09,Activo,2024-01-15,,
SKU-1049,Sal de mesa 1 kg,Abarrotes,Endulzantes,False,1080,14.0,11.33,PRV-09,Activo,2024-01-15,,
SKU-1050,Aceite vegetal 1 L,Abarrotes,Aceites,False,365,46.0,36.63,PRV-08,Activo,2024-01-15,,
SKU-1051,Harina de trigo 1 kg,Abarrotes,Harinas,False,270,28.0,22.92,PRV-08,Activo,2024-01-15,,
SKU-1052,Harina de maíz 1 kg,Abarrotes,Harinas,False,270,25.0,18.87,PRV-09,Activo,2024-01-15,,
SKU-1053,Pasta espagueti 200 g,Abarrotes,Pastas,False,720,12.0,9.8,PRV-10,Activo,2024-01-15,,
SKU-1054,Sopa de fideo 200 g,Abarrotes,Pastas,False,720,11.0,8.93,PRV-08,Activo,2024-01-15,,
SKU-1055,Atún en agua 140 g,Abarrotes,Enlatados,False,1080,24.0,19.46,PRV-09,Activo,2024-01-15,,
SKU-1056,Sardina en tomate 425 g,Abarrotes,Enlatados,False,1080,36.0,28.23,PRV-09,Activo,2024-01-15,,
SKU-1057,Chiles jalapeños en escabeche 380 g,Abarrotes,Enlatados,False,720,27.0,20.56,PRV-10,Activo,2024-01-15,,
SKU-1058,Puré de tomate 210 g,Abarrotes,Enlatados,False,540,13.0,10.39,PRV-09,Activo,2024-01-15,,
SKU-1059,Salsa picante roja 370 ml,Abarrotes,Salsas y aderezos,False,540,38.0,28.83,PRV-08,Activo,2024-01-15,,
SKU-1060,Mayonesa 390 g,Abarrotes,Salsas y aderezos,False,365,49.0,41.05,PRV-08,Activo,2024-01-15,,
SKU-1061,Catsup 397 g,Abarrotes,Salsas y aderezos,False,365,33.0,27.42,PRV-10,Activo,2024-01-15,,
SKU-1062,Café soluble 200 g,Abarrotes,Café,False,540,119.0,94.46,PRV-10,Activo,2024-01-15,,
SKU-1063,Café molido 500 g,Abarrotes,Café,False,365,145.0,119.46,PRV-10,Activo,2024-01-15,,
SKU-1064,Cereal de maíz azucarado 500 g,Abarrotes,Cereales,False,270,72.0,59.38,PRV-09,Activo,2024-01-15,,
SKU-1065,Avena en hojuelas 400 g,Abarrotes,Cereales,False,365,29.0,22.34,PRV-09,Activo,2024-01-15,,
SKU-1066,Mermelada de fresa 270 g,Abarrotes,Untables,False,540,39.0,31.27,PRV-09,Activo,2024-01-15,,
SKU-1067,Miel de abeja 350 g,Abarrotes,Untables,False,720,88.0,71.27,PRV-10,Activo,2024-01-15,,
SKU-1068,Leche condensada 387 g,Abarrotes,Enlatados,False,540,36.0,28.94,PRV-09,Activo,2024-01-15,,
SKU-1069,Consomé de pollo en polvo 227 g,Abarrotes,Sopas,False,540,42.0,34.91,PRV-09,Activo,2024-01-15,,
SKU-1070,Chocolate en polvo 400 g,Abarrotes,Untables,False,540,58.0,43.14,PRV-08,Activo,2024-01-15,,
SKU-1071,Papas fritas 170 g,Abarrotes,Botanas,False,120,46.0,34.46,PRV-09,Activo,2024-01-15,,
SKU-1072,Cacahuates salados 180 g,Abarrotes,Botanas,False,180,29.0,23.59,PRV-10,Activo,2024-01-15,,
SKU-1073,Galletas saladas 137 g,Abarrotes,Botanas,False,180,21.0,15.6,PRV-08,Activo,2024-01-15,,
SKU-1074,Frijoles refritos lata 430 g,Abarrotes,Enlatados,False,720,26.0,19.98,PRV-10,Activo,2024-01-15,,
SKU-1075,Agua natural 1.5 L,Bebidas,Agua,False,365,15.0,11.63,PRV-12,Activo,2024-01-15,,
SKU-1076,Agua natural 6 L,Bebidas,Agua,False,365,34.0,27.55,PRV-11,Activo,2024-01-15,,
SKU-1077,Refresco de cola 2 L,Bebidas,Refrescos,False,180,38.0,27.73,PRV-11,Activo,2024-01-15,,
SKU-1078,Refresco de cola 600 ml,Bebidas,Refrescos,False,180,20.0,16.0,PRV-11,Activo,2024-01-15,,
SKU-1079,Refresco sabor naranja 2 L,Bebidas,Refrescos,False,180,34.0,26.84,PRV-12,Activo,2024-01-15,,
SKU-1080,Refresco de cola light 2 L,Bebidas,Refrescos,False,180,38.0,30.49,PRV-12,Activo,2024-01-15,,
SKU-1081,Agua mineral 600 ml,Bebidas,Agua,False,365,17.0,12.48,PRV-11,Activo,2024-01-15,,
SKU-1082,Jugo de naranja 1 L,Bebidas,Jugos,False,120,32.0,23.94,PRV-12,Activo,2024-01-15,,
SKU-1083,Jugo de manzana 1 L,Bebidas,Jugos,False,120,30.0,23.3,PRV-11,Activo,2024-01-15,,
SKU-1084,Bebida isotónica 600 ml,Bebidas,Isotónicas,False,270,24.0,18.28,PRV-12,Activo,2024-01-15,,
SKU-1085,Té helado 600 ml,Bebidas,Té,False,270,22.0,16.61,PRV-12,Activo,2024-01-15,,
SKU-1086,Cerveza clara 355 ml 6 pack,Bebidas,Cerveza,False,180,118.0,91.85,PRV-11,Activo,2024-01-15,,
SKU-1087,Cerveza oscura 355 ml 6 pack,Bebidas,Cerveza,False,180,132.0,107.69,PRV-11,Activo,2024-01-15,,
SKU-1088,Vino tinto 750 ml,Bebidas,Vinos y licores,False,1080,189.0,148.75,PRV-11,Activo,2024-01-15,,
SKU-1089,Tequila reposado 700 ml,Bebidas,Vinos y licores,False,1080,385.0,310.14,PRV-12,Activo,2024-01-15,,
SKU-1090,Bebida energética 473 ml,Bebidas,Energéticas,False,365,39.0,29.69,PRV-11,Activo,2024-01-15,,
